card
Armageddon
Balance
Crusade
Disenchant
Divine Offering
Land Tax
Savannah Lions
Serra Angel
Swords to Plowshares
Wrath of God
Braingeyser
Control Magic
Copy Artifact
Counterspell
Energy Flux
Flying Men
Lord of Atlantis
Psionic Blast
Recall
Serendib Efreet
Dark Ritual
Demonic Hordes
Demonic Tutor
Greed
Hypnotic Specter
Mind Twist
Nightmare
Sengir Vampire
Terror
Zombie Master
Atog
Ball Lightning
Blood Moon
Fireball
Goblin King
Land's Edge
Lightning Bolt
Sedge Troll
Shivan Dragon
Wheel of Fortune
Argothian Pixies
Birds of Paradise
Channel
Concordant Crossroads
Erhnam Djinn
Force of Nature
Giant Growth
Llanowar Elves
Regrowth
Sylvan Library
Ashnod's Altar
Basalt Monolith
Black Vise
Fellwar Stone
Jalum Tome
Jayemdae Tome
Mana Vault
Nevinyrral's Disk
Sol Ring
Triskelion
City of Brass
Mishra's Factory
Pendelhaven
Strip Mine
Urza's Mine
Urza's Power Plant
Urza's Tower
Dakkon Blackblade
Nicol Bolas
Rubinia Soulsinger
Sol'Kanar the Swamp King
Xira Arien
